step,mean_reward,mean_sinr_db,mean_Te2E,avg_Tloc,avg_Ttx,avg_TQ,avg_Tcpu
235,0.760857,0.7815,3.780608e-01,5.333333e-04,3.754822e-01,2.000800e-03,4.444444e-05
236,1.356583,7.1001,3.436465e-01,5.333333e-04,3.424019e-01,6.667556e-04,4.444444e-05
237,3.036112,13.2941,3.374355e-01,2.666667e-04,3.364799e-01,6.667556e-04,2.222222e-05
238,2.005989,12.3761,3.602822e-01,2.666667e-04,3.593265e-01,6.667556e-04,2.222222e-05
239,2.324123,14.9076,3.567037e-01,4.000000e-04,3.552701e-01,1.000200e-03,3.333333e-05
240,1.306689,6.6072,4.141302e-01,4.000000e-04,4.123632e-01,1.333689e-03,3.333333e-05
241,2.060360,9.0304,1.446780e-01,2.666667e-04,1.440558e-01,3.333556e-04,2.222222e-05
242,2.029609,10.4431,2.098271e-02,4.000000e-04,1.921569e-02,1.333689e-03,3.333333e-05
243,2.530189,17.4527,3.371198e-01,4.000000e-04,3.356863e-01,1.000200e-03,3.333333e-05
244,1.024725,3.1558,4.355862e-02,4.000000e-04,4.245853e-02,6.667556e-04,3.333333e-05
245,1.224992,6.3939,4.810728e-01,5.333333e-04,4.791613e-01,1.333689e-03,4.444444e-05
246,2.868338,12.3555,3.346224e-01,2.666667e-04,3.333333e-01,1.000200e-03,2.222222e-05
247,2.009801,14.1125,5.973213e-01,4.000000e-04,5.962213e-01,6.667556e-04,3.333333e-05
248,1.360476,6.6985,5.993087e-02,2.666667e-04,5.897522e-02,6.667556e-04,2.222222e-05
249,3.541603,15.2291,3.410006e-02,5.333333e-04,3.185506e-02,1.667222e-03,4.444444e-05
250,1.337533,5.7733,6.148499e-02,2.666667e-04,6.052934e-02,6.667556e-04,2.222222e-05
251,1.256664,4.8384,2.048245e-01,4.000000e-04,2.037244e-01,6.667556e-04,3.333333e-05
252,2.490431,18.6733,6.676223e-01,2.666667e-04,6.666667e-01,6.667556e-04,2.222222e-05
253,1.246852,3.9669,1.920613e-02,1.333333e-04,1.872833e-02,3.333556e-04,1.111111e-05
254,1.381784,4.7111,1.101167e-01,6.666667e-04,1.077272e-01,1.667222e-03,5.555556e-05
255,1.380176,4.3208,2.384631e-01,5.333333e-04,2.358846e-01,2.000800e-03,4.444444e-05
256,1.463931,4.0816,3.572141e-02,4.000000e-04,3.495472e-02,3.333556e-04,3.333333e-05
257,2.325639,11.6640,3.625433e-02,2.666667e-04,3.529868e-02,6.667556e-04,2.222222e-05
258,1.498560,4.0759,1.286466e-02,1.333333e-04,1.238686e-02,3.333556e-04,1.111111e-05
